head,encoder,task,split,pearson,run_ts
pca_ridge,conch_v1,CCRCC,0,0.1733,26-09-13-16-30-44
pca_ridge,conch_v1,CCRCC,1,0.2737,26-09-13-16-30-44
pca_ridge,conch_v1,CCRCC,2,0.1966,26-09-13-16-30-44
pca_ridge,conch_v1,CCRCC,3,0.1958,26-09-13-16-30-44
pca_ridge,conch_v1,CCRCC,4,0.2132,26-09-13-16-30-44
pca_ridge,conch_v1,CCRCC,5,0.2551,26-09-13-16-30-44
pca_ridge,conch_v1,COAD,0,0.2367,26-09-13-16-30-44
pca_ridge,conch_v1,COAD,1,0.2609,26-09-13-16-30-44
pca_ridge,conch_v1,HCC,0,0.0314,26-09-13-16-30-44
pca_ridge,conch_v1,HCC,1,0.0715,26-09-13-16-30-44
pca_ridge,conch_v1,IDC,0,0.4106,26-09-13-16-30-44
pca_ridge,conch_v1,IDC,1,0.5994,26-09-13-16-30-44
pca_ridge,conch_v1,IDC,2,0.5101,26-09-13-16-30-44
pca_ridge,conch_v1,IDC,3,0.6252,26-09-13-16-30-44
pca_ridge,conch_v1,LUNG,0,0.5202,26-09-13-16-30-44
pca_ridge,conch_v1,LUNG,1,0.544,26-09-13-16-30-44
pca_ridge,conch_v1,LYMPH_IDC,0,0.3093,26-09-13-16-30-44
pca_ridge,conch_v1,LYMPH_IDC,1,0.1937,26-09-13-16-30-44
pca_ridge,conch_v1,LYMPH_IDC,2,0.2631,26-09-13-16-30-44
pca_ridge,conch_v1,LYMPH_IDC,3,0.2366,26-09-13-16-30-44
pca_ridge,conch_v1,PAAD,0,0.3861,26-09-13-16-30-44
pca_ridge,conch_v1,PAAD,1,0.5479,26-09-13-16-30-44
pca_ridge,conch_v1,PAAD,2,0.4062,26-09-13-16-30-44
pca_ridge,conch_v1,PRAD,0,0.3647,26-09-13-16-30-44
pca_ridge,conch_v1,PRAD,1,0.3449,26-09-13-16-30-44
pca_ridge,conch_v1,READ,0,0.2127,26-09-13-16-30-44
pca_ridge,conch_v1,READ,1,0.1077,26-09-13-16-30-44
pca_ridge,conch_v1,SKCM,0,0.6317,26-09-13-16-30-44
pca_ridge,conch_v1,SKCM,1,0.5261,26-09-13-16-30-44
pca_ridge,conch_v15,CCRCC,0,0.1677,26-09-13-18-29-40
pca_ridge,conch_v15,CCRCC,1,0.2178,26-09-13-18-29-40
pca_ridge,conch_v15,CCRCC,2,0.1777,26-09-13-18-29-40
pca_ridge,conch_v15,CCRCC,3,0.2602,26-09-13-18-29-40
pca_ridge,conch_v15,CCRCC,4,0.2094,26-09-13-18-29-40
pca_ridge,conch_v15,CCRCC,5,0.2723,26-09-13-18-29-40
pca_ridge,conch_v15,COAD,0,0.2677,26-09-13-18-29-40
pca_ridge,conch_v15,COAD,1,0.2926,26-09-13-18-29-40
pca_ridge,conch_v15,HCC,0,0.0517,26-09-13-18-29-40
pca_ridge,conch_v15,HCC,1,0.0855,26-09-13-18-29-40
pca_ridge,conch_v15,IDC,0,0.421,26-09-13-18-29-40
pca_ridge,conch_v15,IDC,1,0.6001,26-09-13-18-29-40
pca_ridge,conch_v15,IDC,2,0.5115,26-09-13-18-29-40
pca_ridge,conch_v15,IDC,3,0.6434,26-09-13-18-29-40
pca_ridge,conch_v15,LUNG,0,0.5462,26-09-13-18-29-40
pca_ridge,conch_v15,LUNG,1,0.5565,26-09-13-18-29-40
pca_ridge,conch_v15,LYMPH_IDC,0,0.3416,26-09-13-18-29-40
pca_ridge,conch_v15,LYMPH_IDC,1,0.1976,26-09-13-18-29-40
pca_ridge,conch_v15,LYMPH_IDC,2,0.2957,26-09-13-18-29-40
pca_ridge,conch_v15,LYMPH_IDC,3,0.2447,26-09-13-18-29-40
pca_ridge,conch_v15,PAAD,0,0.4059,26-09-13-18-29-40
pca_ridge,conch_v15,PAAD,1,0.5419,26-09-13-18-29-40
pca_ridge,conch_v15,PAAD,2,0.4228,26-09-13-18-29-40
pca_ridge,conch_v15,PRAD,0,0.3912,26-09-13-18-29-40
pca_ridge,conch_v15,PRAD,1,0.3704,26-09-13-18-29-40
pca_ridge,conch_v15,READ,0,0.2249,26-09-13-18-29-40
pca_ridge,conch_v15,READ,1,0.0953,26-09-13-18-29-40
pca_ridge,conch_v15,SKCM,0,0.5844,26-09-13-18-29-40
pca_ridge,conch_v15,SKCM,1,0.5191,26-09-13-18-29-40
pca_ridge,ctranspath,CCRCC,0,0.1728,26-09-13-16-30-55
pca_ridge,ctranspath,CCRCC,1,0.2665,26-09-13-16-30-55
pca_ridge,ctranspath,CCRCC,2,0.2002,26-09-13-16-30-55
pca_ridge,ctranspath,CCRCC,3,0.2824,26-09-13-16-30-55
pca_ridge,ctranspath,CCRCC,4,0.2083,26-09-13-16-30-55
pca_ridge,ctranspath,CCRCC,5,0.2869,26-09-13-16-30-55
pca_ridge,ctranspath,COAD,0,0.1915,26-09-13-16-30-55
pca_ridge,ctranspath,COAD,1,0.2848,26-09-13-16-30-55
pca_ridge,ctranspath,HCC,0,0.0366,26-09-13-16-30-55
pca_ridge,ctranspath,HCC,1,0.0681,26-09-13-16-30-55
pca_ridge,ctranspath,IDC,0,0.4362,26-09-13-16-30-55
pca_ridge,ctranspath,IDC,1,0.535,26-09-13-16-30-55
pca_ridge,ctranspath,IDC,2,0.4853,26-09-13-16-30-55
pca_ridge,ctranspath,IDC,3,0.541,26-09-13-16-30-55
pca_ridge,ctranspath,LUNG,0,0.4836,26-09-13-16-30-55
pca_ridge,ctranspath,LUNG,1,0.5438,26-09-13-16-30-55
pca_ridge,ctranspath,LYMPH_IDC,0,0.2967,26-09-13-16-30-55
pca_ridge,ctranspath,LYMPH_IDC,1,0.1993,26-09-13-16-30-55
pca_ridge,ctranspath,LYMPH_IDC,2,0.2592,26-09-13-16-30-55
pca_ridge,ctranspath,LYMPH_IDC,3,0.2082,26-09-13-16-30-55
pca_ridge,ctranspath,PAAD,0,0.3583,26-09-13-16-30-55
pca_ridge,ctranspath,PAAD,1,0.5299,26-09-13-16-30-55
pca_ridge,ctranspath,PAAD,2,0.4063,26-09-13-16-30-55
pca_ridge,ctranspath,PRAD,0,0.4003,26-09-13-16-30-55
pca_ridge,ctranspath,PRAD,1,0.31,26-09-13-16-30-55
pca_ridge,ctranspath,READ,0,0.1791,26-09-13-16-30-55
pca_ridge,ctranspath,READ,1,0.0147,26-09-13-16-30-55
pca_ridge,ctranspath,SKCM,0,0.5929,26-09-13-16-30-55
pca_ridge,ctranspath,SKCM,1,0.4266,26-09-13-16-30-55
pca_ridge,gigapath,CCRCC,0,0.1966,26-09-13-16-30-32
pca_ridge,gigapath,CCRCC,1,0.2547,26-09-13-16-30-32
pca_ridge,gigapath,CCRCC,2,0.2253,26-09-13-16-30-32
pca_ridge,gigapath,CCRCC,3,0.2886,26-09-13-16-30-32
pca_ridge,gigapath,CCRCC,4,0.2169,26-09-13-16-30-32
pca_ridge,gigapath,CCRCC,5,0.2756,26-09-13-16-30-32
pca_ridge,gigapath,COAD,0,0.2781,26-09-13-16-30-32
pca_ridge,gigapath,COAD,1,0.3204,26-09-13-16-30-32
pca_ridge,gigapath,HCC,0,0.0577,26-09-13-16-30-32
pca_ridge,gigapath,HCC,1,0.0839,26-09-13-16-30-32
pca_ridge,gigapath,IDC,0,0.4511,26-09-13-16-30-32
pca_ridge,gigapath,IDC,1,0.5977,26-09-13-16-30-32
pca_ridge,gigapath,IDC,2,0.5174,26-09-13-16-30-32
pca_ridge,gigapath,IDC,3,0.6398,26-09-13-16-30-32
pca_ridge,gigapath,LUNG,0,0.5048,26-09-13-16-30-32
pca_ridge,gigapath,LUNG,1,0.5773,26-09-13-16-30-32
pca_ridge,gigapath,LYMPH_IDC,0,0.3093,26-09-13-16-30-32
