head,encoder,task,gene,pearson_mean,n_splits
pca_ridge,conch_v1,CCRCC,TMEM91,0.4299,6
pca_ridge,conch_v1,CCRCC,CD109,0.3648,6
pca_ridge,conch_v1,CCRCC,CPE,0.3622,6
pca_ridge,conch_v1,CCRCC,SCARB1,0.361,6
pca_ridge,conch_v1,CCRCC,BTF3,0.3282,6
pca_ridge,conch_v1,CCRCC,SLC39A14,0.3238,6
pca_ridge,conch_v1,CCRCC,CKB,0.3231,6
pca_ridge,conch_v1,CCRCC,KRTCAP2,0.3085,6
pca_ridge,conch_v1,CCRCC,YWHAE,0.2978,6
pca_ridge,conch_v1,CCRCC,STK39,0.2966,6
pca_ridge,conch_v1,CCRCC,LY6E,0.2929,6
pca_ridge,conch_v1,CCRCC,HNRNPK,0.2865,6
pca_ridge,conch_v1,CCRCC,H3F3A,0.2837,6
pca_ridge,conch_v1,CCRCC,VMP1,0.2791,6
pca_ridge,conch_v1,CCRCC,SLC15A4,0.2741,6
pca_ridge,conch_v1,CCRCC,NOL3,0.2686,6
pca_ridge,conch_v1,CCRCC,DERL1,0.2634,6
pca_ridge,conch_v1,CCRCC,BLVRB,0.2504,6
pca_ridge,conch_v1,CCRCC,SEMA4B,0.2492,6
pca_ridge,conch_v1,CCRCC,PXN,0.2408,6
pca_ridge,conch_v1,CCRCC,CIB1,0.2378,6
pca_ridge,conch_v1,CCRCC,HMOX1,0.2235,6
pca_ridge,conch_v1,CCRCC,LAPTM4B,0.2082,6
pca_ridge,conch_v1,CCRCC,FLNB,0.2063,6
pca_ridge,conch_v1,CCRCC,RXRA,0.2059,6
pca_ridge,conch_v1,CCRCC,GADD45B,0.2037,6
pca_ridge,conch_v1,CCRCC,CHST15,0.1963,6
pca_ridge,conch_v1,CCRCC,PARP10,0.1915,6
pca_ridge,conch_v1,CCRCC,LRRC41,0.1899,6
pca_ridge,conch_v1,CCRCC,NAMPT,0.1872,6
pca_ridge,conch_v1,CCRCC,AKAP8,0.1797,6
pca_ridge,conch_v1,CCRCC,NOTCH3,0.1742,6
pca_ridge,conch_v1,CCRCC,IFI6,0.1731,6
pca_ridge,conch_v1,CCRCC,TRBC1,0.1727,6
pca_ridge,conch_v1,CCRCC,HTRA1,0.1711,6
pca_ridge,conch_v1,CCRCC,NT5DC2,0.1684,6
pca_ridge,conch_v1,CCRCC,CPD,0.1679,6
pca_ridge,conch_v1,CCRCC,EGFL7,0.1576,6
pca_ridge,conch_v1,CCRCC,PTGS1,0.1559,6
pca_ridge,conch_v1,CCRCC,TP53INP1,0.1331,6
pca_ridge,conch_v1,CCRCC,GPNMB,0.1327,6
pca_ridge,conch_v1,CCRCC,ISG15,0.1314,6
pca_ridge,conch_v1,CCRCC,TM2D3,0.129,6
pca_ridge,conch_v1,CCRCC,IRF7,0.1253,6
pca_ridge,conch_v1,CCRCC,TFRC,0.1219,6
pca_ridge,conch_v1,CCRCC,IFI27,0.1213,6
